r56,Nama,Sisa Stok,Satuan,HNA + PPN,QTY 1,Harga 1,Disc1,QTY2,Harga2,Disc2,QTY3,Harga3,Disc3,QTY4,Harga4,Disc4,QTY5,Harga5,Disc5
04205122004 2,ABC BATU / K,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4205122004.1,ABC A3 SUPER POWER HGR,0,HGR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81233991,ESQUIS FIZZ DOS 5.5 GR,0,PAK,0,1,1772,0,0,0,0,0,0,0,0,0,0,0,0,0
92602831,PANDA LIANG TEA KL 310 ML,0,PC,3364,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100105812147,HUKI COTTON BUDS,0,PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102711404,MONTISS TISSUE 250,0,PC,0,1,9750,0,0,0,0,0,0,0,0,0,0,0,0,0
104001100717,ALKALINE A3 REMOTE,0,PSNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10400110071745,ALKALINE AA / A2 (BESAR),0,PSNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10805022546,MODY DIAPERS XL-6,0,PAK,53280,1,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0
10805410144,OTO DIAPERS ORANGE / M-10,13,PAK,51250,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
108054101441,OTO DIAPERS BIRU / L-8,4,PAK,51250,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
108054101442,OTO DIAPERS KUNING / XL-6,1,PAK,51250,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
10805410228,BP DIAPER / M-10,0,PAK,47151,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
108054102281,BP DIAPER / L-8,0,PAK,47151,1,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0
108054102282,BP DIAPER / XL-6,0,PAK,47151,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0
108054102283,BP DIAPER / M-8,0,PAK,47151,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
108054102284,BP DIAPER / L-7,10,PAK,47151,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
10805411245,PANTS OTO ORANGE / M-5,0,PAK,46923,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
108054112451,PANTS OTO KUNING / XL-3,0,PAK,39557,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
10805810723,PANTS OTO BIRU / L-4,0,PAK,41373,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
108058107231,PANTS OTO ORANGE / M-8,4,PAK,73050,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1080581072311,PANTS OTO BIRU / L-8,21,PAK,74572,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
108058107232,PANTS OTO KUNING / XL-8,0,PAK,78205,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
10903510103,OTO PERLAK,22,PAK,34450,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
10903510393,HEALER PERLAK,0,PAK,36000,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
10928,HANSAPLAST ELASTIS 10S BOX (ISI 30),0,BOX,93240,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
110,ALTECO 3 GR,0,PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110019820402,NANO - NANO PERMEN,73,BOX,43290,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111709511,COUNTERPAIN 2 X 60 GR BANDED,0,BND,138972,1,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
11201000229,MIRANDA MC-P1 TARO LATTE,0,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13011320221,BETADINE OINT 5 GR *NO RETUR*,800,PC,14153,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
14.01.16.2.0082,LISTERIN 80 ML COOL MINT,0,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15140067211120,PUYER CACING U3,0,SAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154.609.251,SALONPAS JET SPRAY 118 ML / B,0,PC,64824,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
17113,AICA AIBON,0,PC,0,1,12250,0,0,0,0,0,0,0,0,0,0,0,0,0
18001224,PAGODA PASTILES MINT,73,BOX,0,1,73300,0,0,0,0,0,0,0,0,0,0,0,0,0
18003033,PAGODA PASTILES STRAW,39,BOX,0,1,73300,0,0,0,0,0,0,0,0,0,0,0,0,0
180040029,PAGODA PASTILES APEL,3,BOX,0,1,73300,0,0,0,0,0,0,0,0,0,0,0,0,0
1800815646,GILLETTE GOAL BLUE,0,PC,0,1,7653,0,0,0,0,0,0,0,0,0,0,0,0,0
18039001,PAGODA PASTILES ANGGUR,20,BOX,0,1,73300,0,0,0,0,0,0,0,0,0,0,0,0,0
18082308,TATRA SILET,0,PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18150600456,GATSBY URBAN 125 ML BIRU / INFINITY,0,PC,16250,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18160400252,CALADINE TALC 60 GR / K XF *NORETUR*,0,PC,9990,1,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0
18160400257,CALADINE TALC 60 GR / K *NO RETUR* $$,881,PC,12310,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
18161201393.1,PHISOHEX 110 ML / B,0,PC,40910,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
18170700164,LIFEBUOY BW REF 400 ML KUNING / LEMON,0,PC,0,1,24500,0,0,0,0,0,0,0,0,0,0,0,0,0
18170700175,LIFEBUOY BW REF 400 ML MERAH / TOTAL 10,0,PC,0,1,24500,0,0,0,0,0,0,0,0,0,0,0,0,0
18180200640,ZEN SOAP 80 GR MERAH,0,SLOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18180500639,ZEN SOAP 80 GR BIRU,0,SLOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18200600700,SECRET CLEAN PARFUM LOVELY DAY (PINK),0,PC,12260,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
18200600701,SECRET CLEAN PARFUM BEAUTIFUL DAY (UNGU),0,PC,12260,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
18200600702,SECRET CLEAN PARFUM SUNNY DAY (KUNING),0,PC,12260,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
18200600703,SECRET CLEAN PARFUM HAPPY DAY (HIJAU),0,PC,12260,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
18200600704,SECRET CLEAN PARFUM COLORFUL DAY (BIRU),0,PC,12260,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
18200700761,SECRET CLEAN HAND WASH PUMP 250 ML,0,PC,23865,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
18210104586,CESSA BABY LENIRE ORANGE 8 ML *NORETUR*,0,PC,0,1,28000,0,0,0,0,0,0,0,0,0,0,0,0,0
1822040001,MARCKS 40 GR NAT BEIGE,0,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18220500448,ZEN SOAP 70 GR HIJAU,0,SLOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182716701,HOT IN BALSEM 25 GR,245,PC,12876,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0
187105,WINROSE KOTAK (12 PC),0,SAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19002009,PAGODA PASTILES JERUK,8,BOX,0,1,73300,0,0,0,0,0,0,0,0,0,0,0,0,0
19011034,PAGODA SALEP 10 GR,554,BOX,0,1,82723,0,0,0,0,0,0,0,0,0,0,0,0,0
1926366013,LASERIN MADU 100 ML,206,PC,22200,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20.03.16.4.0197,SCRUBBER SAK 7.1 GR,48,SAK,20113,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20203810066,KISPRAY REFILL 280 ML GLAMOUR / GOLD,0,PC,5328,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
202038100661,KISPRAY BOTOL 318 ML GLAMOUR / GOLD,0,PC,14926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20203810113,KISPRAY HGR (12 SCH) 11 ML GLAMOUR / GOLD,0,HGR,10284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202038101131,KISPRAY DOS 11 ML GLAMOUR / GOLD,0,DOS,6164,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0
20203810115,KISPRAY DOS 21 ML SEGERIS / KNG,0,DOS,5761,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0
202038101151,KISPRAY HGR (24 SCH) 6 ML SEGERIS / KNG,0,HGR,10091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20206418059,KISPRAY REFILL 280 ML VIOLET / UNGU,0,PC,4440,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202064180591,KISPRAY BOTOL 318 ML VIOLET / UNGU,0,PC,9990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20206418060,KISPRAY REFILL 280 ML BLUIS / BIRU,0,PC,4218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202064180601,KISPRAY BOTOL 318 ML BLUIS / BIRU,0,PC,9768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20206510094,KISPRAY HGR (24 SCH) 6 ML AMORIS / RED,0,HGR,10091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202065100941,KISPRAY DOS 21 ML AMORIS / RED,0,DOS,5384,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0
20206510096,KISPRAY HGR (24 SCH) 6 ML BLUIS / BIRU,0,HGR,10091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202065100961,KISPRAY DOS 21 ML BLUIS / BIRU,0,DOS,5384,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0
20206510097,KISPRAY HGR (24 SCH) 6 ML VIOLET / UNGU,0,HGR,10091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202065100971,KISPRAY DOS 21 ML VIOLET / UNGU,0,DOS,5761,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0
20206518002,KISPRAY REFILL 280 ML AMORIS / RED,0,PC,4218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202065180021,KISPRAY BOTOL 318 ML AMORIS / RED,0,PC,9768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20206518003,KISPRAY REFILL 280 ML SEGERIS / KNG,0,PC,4440,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202065180031,KISPRAY BOTOL 318 ML SEGERIS / KNG,0,PC,9990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204011203731,HUKI NIPPLE TOPLES S (MERAH),0,TOPLE,102120,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20501021053,SRITI HS SPRAY 100 ML,0,PC,0,1,6811,0,0,0,0,0,0,0,0,0,0,0,0,0
20501023738,JF DERMA PROTECT HS SPRAY 100 ML,0,PC,0,1,12412,0,0,0,0,0,0,0,0,0,0,0,0,0
20501320680,MAGIC POWER SPRAY 15 ML,17,PC,0,1,16100,0,0,0,0,0,0,0,0,0,0,0,0,0
20501510307,ANTIS GEL 250 ML JERUK NIPIS,0,PC,32301,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0
20501510356,ANTIS GEL 250 ML FRESH CLEAN,0,PC,32301,1,0,0,6,0,5,0,0,0,0,0,0,0,0,0
20501710135,ANTIS SPRAY 55 ML TIMUN,0,PC,11100,1,0,0,6,0,5,0,0,0,0,0,0,0,0,0
20501710288,ANTIS GEL 60 ML JERUK NIPIS,0,PC,8126,1,0,0,6,0,5,0,0,0,0,0,0,0,0,0
205017102881,ANTIS GEL 30 ML BANDED SCH,0,PC,4995,1,0,0,6,0,5,0,0,0,0,0,0,0,0,0
205017102882,ANTIS GEL 30 ML JERUK NIPIS,0,PC,4036,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0
20501710289,ANTIS SPRAY 55 ML JERUK NIPIS,0,PC,11322,1,0,0,6,0,5,0,0,0,0,0,0,0,0,0
205017102891,ANTIS SPRAY 200 ML JERUK NIPIS,0,PC,32301,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0
20501811758,ANTIS SPRAY 55 ML JASMINE,0,PC,11322,1,0,0,6,0,5,0,0,0,0,0,0,0,0,0
20601121049,STELLA 42 GR XTRA LEMON S,0,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20601121059,STELLA 42 GR XTRA F APPLE,0,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20601121072,STELLA 42 GR XTRA FLORAL S,0,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20605110248,AZANO KAMPER 150 GR LEMON,0,PAK,9900,1,12614,0,0,0,0,0,0,0,0,0,0,0,0,0
20605410079,AZANO KAMPER 150 GR STRAW,0,PAK,9900,1,12614,0,0,0,0,0,0,0,0,0,0,0,0,0
20605710191,AZANO KAMPER 25 GR,0,SAK,25080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073209010809,PERMEN JAHE SAK,0,SAK,0,1,6350,0,0,0,0,0,0,0,0,0,0,0,0,0
209327201005524,ALBA PASTILES 100 GR X,0,SAK,0,1,10850,0,0,0,0,0,0,0,0,0,0,0,0,0
209327201005525,ALBA PASTILES 100 GR,4012,PC,0,1,11250,0,0,0,0,0,0,0,0,0,0,0,0,0
20933740248124,CITRA MADU MAWAR 100 ML,164,BTL,0,1,7000,0,0,0,0,0,0,0,0,0,0,0,0,0
21104511354,FIESTA 3 RASA DURIAN,0,pak,11985,1,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0
21104812840,SUTRA 3 PLUS,0,BOX,191329,1,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0
21104812841,SUTRA 12 GERIGI,15,BOX,340265,1,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0
211048128411,SUTRA 12+3 GERIGI ECO,0,BOX,340265,1,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0
211473,ETERNA SIKAT CUCI 414,0,BOX,0,1,54000,0,0,0,0,0,0,0,0,0,0,0,0,0
22684,FANBO REMBUK,0,STR,0,1,11400,0,0,0,0,0,0,0,0,0,0,0,0,0
23062021,LAKBAN GOLDLAND 90 YARD ISI 6,0,SLOP,0,1,54491,0,0,0,0,0,0,0,0,0,0,0,0,0
242833002500432,NELLCO GUMMY MINT,8,BOX,38850,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
243133002200079,FRUTA GUMMY MIX,0,BOX,0,1,14850,0,0,0,0,0,0,0,0,0,0,0,0,0
2637,HANSAPLAST 100 + 10%,0,BOX,31079,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
266610001096,ADEM SARI BTL 350 ML LEMON,0,PC,5906,1,0,0,24,0,3,0,0,0,0,0,0,0,0,0
266610044211,COOLANT BTL 350 ML LECI,0,PC,0,1,4107,0,0,0,0,0,0,0,0,0,0,0,0,0
266810026211,COOLANT BTL 350 ML BKG,0,PC,0,1,4107,0,0,0,0,0,0,0,0,0,0,0,0,0
268810020211,COOLANT BTL 350 ML STAR FRT,0,PC,0,1,4107,0,0,0,0,0,0,0,0,0,0,0,0,0
272833001300580,SAKATONIK ACTIV GUMMY,16,BOX,90001,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
272867004600023,DIABETAMIL SWEETENER 50 SCH,2,BOX,24420,1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0
29.00.02.3.2798,VELPO,0,PC,0,1,8401,0,0,0,0,0,0,0,0,0,0,0,0,0
30.00.00.4.0891,DUREX 3 LOVE,143,PAK,9999,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0
30.00.00.4.0898,DUREX 3 TOGETHER,0,PAK,20376,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0
301019504,SELECTION KAPAS 35 GR / K,193,LS,73593,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0
30701310589,FORCE MAGIC MICRONS 10 ML / LEMON,0,PC,0,1,22533,0,0,0,0,0,0,0,0,0,0,0,0,0
307013105891,FORCE MAGIC MICRONS 16 ML / LEMON,0,PC,0,1,31158,0,0,0,0,0,0,0,0,0,0,0,0,0
30701600368,SOFFELL SPRAY 80 ML JERUK / KUNING,0,PC,14174,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0
30701600369,SOFFELL SPRAY 80 ML GERANIUM / PINK,0,PC,13110,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0
30701712010,FORCE MAGIC 400 ML LEMON / KUNING,0,PC,0,1,31779,0,0,0,0,0,0,0,0,0,0,0,0,0
307017120101,FORCE MAGIC 600 ML LEMON / KUNING,0,PC,0,1,35320,0,0,0,0,0,0,0,0,0,0,0,0,0
30701712011,FORCE MAGIC 600 ML CHRYSANT / BIRU,0,PC,0,1,35320,0,0,0,0,0,0,0,0,0,0,0,0,0
30701712012,FORCE MAGIC 230+45 ML LEMON / KUNING,0,PC,0,1,22533,0,0,0,0,0,0,0,0,0,0,0,0,0
30702110851,SOFFELL BOTOL 80 GR APEL / HIJAU,0,PC,8869,1,0,0,4,0,5,0,0,0,0,0,0,0,0,0
307021108512,SOFFELL RTG (24 SCH) 6 GR APEL / HIJAU,0,RTG,10310,1,0,0,48,0,3,192,0,4,0,0,0,0,0,0
30702410241,SOFFELL RTG (24 SCH) 10 GR BKG / PUTIH,0,RTG,0,1,18914,0,0,0,0,0,0,0,0,0,0,0,0,0
307024102411,SOFFELL BOTOL 80 GR BKG / PUTIH,0,PC,11544,1,0,0,4,0,5,0,0,0,0,0,0,0,0,0
30702410241A,SOFFELL RTG (12 SCH) 10 GR BKG / PUTIH,0,RTG,9458,1,0,0,48,0,3,192,0,4,0,0,0,0,0,0
30702801042,SOFFELL BOTOL 60 GR JERUK / KUNING,118,PC,9680,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
307028010421,SOFFELL DOS 6 GR JERUK / KUNING,0,PAK,0,1,2825,0,0,0,0,0,0,0,0,0,0,0,0,0
30702900117,SOFFELL BOTOL 60 GR GERANIUM / PINK,110,PC,9680,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
307029001171,SOFFELL TUBE 50 GR GERANIUM / PINK,0,PC,0,1,8880,0,0,0,0,0,0,0,0,0,0,0,0,0
307029001172,SOFFELL DOS 6 GR GERANIUM / PINK,0,PAK,0,1,2825,0,0,0,0,0,0,0,0,0,0,0,0,0
3720241,PO CHAI PILLS,0,PAK,0,1,47932,0,0,0,0,0,0,0,0,0,0,0,0,0
428,ETERNA SIKAT SEPATU 428,0,BOX,0,1,59000,0,0,0,0,0,0,0,0,0,0,0,0,0
439746420729,GREAT WALL ISI STAPLES / K,0,PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47754,HANSAPLAST JUMBO ISI 24 / K,0,BOX,13480,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
50552,SM PEGEL LINU TELOR,36,PAK,0,1,38650,0,0,0,0,0,0,0,0,0,0,0,0,0
54220700002,LACTACYD BABY MILKY 150 ML HIJAU,8,PC,70363,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
566509003000,ADEM SARI KL 325 ML HERBAL TEA,0,KLG,5905,1,0,0,24,0,3,0,0,0,0,0,0,0,0,0
566509003000new,ADEM SARI KL 325 ML HERBAL TEA CIAWI,0,KLG,5905,1,0,0,24,0,3,0,0,0,0,0,0,0,0,0
566510002096,ADEM SARI KL 320 ML LEMON SPARKLING,0,KLG,5906,1,0,0,24,0,3,0,0,0,0,0,0,0,0,0
569013005283,PANDA GRASS JELLY KL 310 ML,0,PC,3364,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
597A80605A,SALEP KEMBANG BULAN 7 GR,0,BOX,0,1,62400,0,0,0,0,0,0,0,0,0,0,0,0,0
67457465,CITRA LULUR 200 ML BKG / KUNING,0,PC,14682,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
67900704,ZWITSAL BABY SPA GIFT SET,0,BOX,99597,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
679007041,ZWITSAL BABY SPA GIFT BNS BEBEK,0,BOX,0,1,118500,0,0,0,0,0,0,0,0,0,0,0,0,0
7813004710A1,FEMINAX TAB NEW,111,BOX,73538,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80787811B02,GILLETTE GOAL MERAH,0,PC,0,1,15893,0,0,0,0,0,0,0,0,0,0,0,0,0
81779,FLYING WHEEL REMI 868,0,BOX,0,1,47000,0,0,0,0,0,0,0,0,0,0,0,0,0
8995026801996,MARCKS SACHET 20 GR PUTIH,0,SCHT,0,1,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
9078858512,ORAL B SIKAT SHINY CLEAN SOFT,0,BOX,0,1,35318,0,0,0,0,0,0,0,0,0,0,0,0,0
92138218,GILLETTE GOAL KLIK,0,PC,0,1,8577,0,0,0,0,0,0,0,0,0,0,0,0,0
96599449,GILLETTE GOAL TWO,0,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2003011,CANMAX MASKER ISI 50 PC,0,PAK,0,1,100909,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1,DECOLGEN SYRUP,0,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAAAAAAAAAAAAA,DECOLGEN SYRUP,0,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK1104511374,FIESTA 3 EXTREME,0,PAK,9102,1,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0
AKD10605410341,FORMULA SIKAT TRENDY MEDIUM,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD10605410341A,FORMULA SIKAT TRENDY SOFT,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD10605410342,FORMULA SIKAT SYSTEM MEDIUM,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD10605510001,FORMULA SIKAT ZAP MEDIUM,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD10605510003,FORMULA SIKAT DA MEDIUM,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD106055100031,FORMULA SIKAT RIPPLE SOFT,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD106055100032,FORMULA SIKAT RIPPLE MEDIUM,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD10605510143A,FORMULA SIKAT DA SOFT,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD10605510213,FORMULA SIKAT DIAMOND MEDIUM,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD10605811009,FORMULA SIKAT TRENDY BLING SOFT,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD106059559,FORMULA SIKAT D CRYSTAL MEDIUM,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD1060595591,FORMULA SIKAT ZAP SOFT,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD10805021043,LIVELY DIAPER L-7,0,PAK,36327,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
AKD10805022546,MODY DIAPERS M-10,0,PAK,53280,1,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0
AKD10902110112,HANSAPLAST ELASTIS 10S TOPLES (ISI 40),0,TOPLE,141861,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
AKD109021101121,HANSAPLAST 100,750,PAK,31079,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
AKD10902110113,HANSAPLAST ELASTIS 10S TOPLES (ISI 24),193,TOPLE,131822,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AKD10902400073,OKEPLAST 100,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKD10902420334,PLESTERIN ONE BOX 100 *BNS PLESTERIN 5` 7AMP,4,BOX,20868,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
AKD10902420335,PLESTERIN ONE AMPLOP 25X10 *BNS PLESTERIN 5` 7AMP,5,BOX,61050,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
AKD10902510091,DERMAFIX T 10 X 25 CM,21,BOX,168499,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0
